patient|anim_group|breed|age_in_days|wt_in_kg|amount|amount_units|amount_certain|expo_time|expo_certain|finding_type|finding_numb|when_seen|finding|status|time_to_onset
80029809|"Canine Domestic"|"Boston Terrier"|120|5.4|2.000|"bite"|"Observed"|"2008-04-13-19.59.01"|"Observed"|"Condition"|1|"2008-04-13-21.30.11"|"Lethargy"|"Mild"|"00000000013110.000000"
80030957|"Canine Domestic"|"Labrador Retriever"|4017|28.9|0.000|"count"|"Observed"|"2008-04-17-14.58.25"|"Suspected"|"Condition"|1|"2008-04-17-19.00.01"|"Seizure(s)"|"Severe"|"00000000040136.000000"
80030957|"Canine Domestic"|"Labrador Retriever"|4017|28.9|0.000|"count"|"Observed"|"2008-04-17-14.58.25"|"Suspected"|"Condition"|1|"2008-04-17-21.00.04"|"Seizure(s)"|"Normal"|"00000000060139.000000"
80031845|"Canine Domestic"|"Miniature Schnauzer Dog"|1095|7.7|60.000|"Not App"|"Not Specific"|"2008-04-20-14.30.45"|"Evidence"|"Condition"|1|"2008-04-20-20.20.09"|"Vomiting"|"Mild"|"00000000054924.000000"
80034842|"Canine Domestic"|"Pug Dog"|1826|12.6|30.000|"count"|"Possible"|"2008-04-29-19.50.53"|"Evidence"|"Lab Test"|1|"2008-04-29-22.22.13"|"Blood Urea Nitrogen"|"Normal"|"00000000023120.000000"
80034842|"Canine Domestic"|"Pug Dog"|1826|12.6|30.000|"count"|"Possible"|"2008-04-29-19.50.53"|"Evidence"|"Lab Test"|2|"2008-04-29-22.22.13"|"Serum Creatinine"|"Normal"|"00000000023120.000000"
80035341|"Canine Domestic"|"Yorkshire Terrier"|365|1.8|0.500|"count"|"Suspected"|"2008-04-30-22.00.11"|"Observed"|"Condition"|2|"2008-05-01-09.12.52"|"Melanuria"|"Mild"|"00000000111241.000000"
80035341|"Canine Domestic"|"Yorkshire Terrier"|365|1.8|0.500|"count"|"Suspected"|"2008-04-30-22.00.11"|"Observed"|"Condition"|1|"2008-05-01-09.12.52"|"Vomiting"|"Mild"|"00000000111241.000000"
80014075|"Canine Domestic"|"Golden Retriever"|150|24.9|16.000|"oz"|"Observed"|"2008-02-19-18.00.28"|"Evidence"|"Condition"|2|"2008-05-01-12.00.38"|"Polydipsia"|"Moderate"|"00000210180010.000000"
80014075|"Canine Domestic"|"Golden Retriever"|150|24.9|16.000|"oz"|"Observed"|"2008-02-19-18.00.28"|"Evidence"|"Condition"|1|"2008-05-01-12.00.38"|"Polyuria"|"Moderate"|"00000210180010.000000"
80035438|"Canine Domestic"|"Golden Retriever"|1460|37.5|60.000|"count"|"Evidence"|"2008-05-01-09.30.54"|"Evidence"|"Condition"|1|"2008-05-01-17.00.44"|"Lethargy"|"Mild"|"00000000072950.000000"
80035438|"Canine Domestic"|"Golden Retriever"|1460|37.5|60.000|"count"|"Evidence"|"2008-05-01-09.30.54"|"Evidence"|"Vital Sign"|2|"2008-05-01-17.15.38"|"Heart Rate"|"Normal"|"00000000074444.000000"
80035438|"Canine Domestic"|"Golden Retriever"|1460|37.5|60.000|"count"|"Evidence"|"2008-05-01-09.30.54"|"Evidence"|"Vital Sign"|3|"2008-05-01-17.15.38"|"Respirations"|"Normal"|"00000000074444.000000"
80035438|"Canine Domestic"|"Golden Retriever"|1460|37.5|60.000|"count"|"Evidence"|"2008-05-01-09.30.54"|"Evidence"|"Vital Sign"|4|"2008-05-01-17.15.38"|"Temperature"|"Normal"|"00000000074444.000000"
80040043|"Canine Domestic"|"Labrador Retriever"|730|26.6|2.000|"lb"|"Possible"|"2008-05-15-18.00.37"|"Evidence"|"Lab Test"|1|"2008-05-16-18.00.35"|"Blood Urea Nitrogen"|"Normal"|"00000000235958.000000"
80040043|"Canine Domestic"|"Labrador Retriever"|730|26.6|2.000|"lb"|"Possible"|"2008-05-15-18.00.37"|"Evidence"|"Lab Test"|2|"2008-05-16-18.00.35"|"Serum Creatinine"|"Normal"|"00000000235958.000000"
80040043|"Canine Domestic"|"Labrador Retriever"|730|26.6|2.000|"lb"|"Possible"|"2008-05-15-18.00.37"|"Evidence"|"Lab Test"|2|"2008-05-17-12.00.35"|"Serum Creatinine"|"Normal"|"00000001175958.000000"
80040043|"Canine Domestic"|"Labrador Retriever"|730|26.6|2.000|"lb"|"Possible"|"2008-05-15-18.00.37"|"Evidence"|"Lab Test"|1|"2008-05-17-18.00.35"|"Blood Urea Nitrogen"|"Normal"|"00000001235958.000000"
80040043|"Canine Domestic"|"Labrador Retriever"|730|26.6|2.000|"lb"|"Possible"|"2008-05-15-18.00.37"|"Evidence"|"Lab Test"|1|"2008-05-18-12.00.35"|"Blood Urea Nitrogen"|"Normal"|"00000002175958.000000"
80040043|"Canine Domestic"|"Labrador Retriever"|730|26.6|2.000|"lb"|"Possible"|"2008-05-15-18.00.37"|"Evidence"|"Lab Test"|2|"2008-05-18-12.00.35"|"Serum Creatinine"|"Normal"|"00000002175958.000000"
80045688|"Canine Domestic"|"Miniature Dachshund Dog"|1460|8.1|7.000|"count"|"Suspected"|"2008-06-01-11.30.17"|"Evidence"|"Condition"|1|"2008-06-01-15.30.12"|"Vomiting"|"Mild"|"00000000035955.000000"
80045688|"Canine Domestic"|"Miniature Dachshund Dog"|1460|8.1|7.000|"count"|"Suspected"|"2008-06-01-11.30.17"|"Evidence"|"Condition"|2|"2008-06-01-23.46.25"|"Borborygmus"|"Mild"|"00000000121608.000000"
80014075|"Canine Domestic"|"Golden Retriever"|150|24.9|16.000|"oz"|"Observed"|"2008-02-19-18.00.28"|"Evidence"|"Condition"|3|"2008-06-06-12.00.38"|"Stiffness"|"Moderate"|"00000315180010.000000"
80047465|"Canine Domestic"|"Alaskan Husky"|3287|19.9|5.500|"count"|"Observed"|"2008-06-06-21.10.14"|"Observed"|"Condition"|1|"2008-06-07-10.00.32"|"Bloody Vomitus"|"Mild"|"00000000125018.000000"
80047465|"Canine Domestic"|"Alaskan Husky"|3287|19.9|5.500|"count"|"Observed"|"2008-06-06-21.10.14"|"Observed"|"Condition"|3|"2008-06-07-12.01.32"|"Elevated Lipase"|"Mild"|"00000000145118.000000"
80047465|"Canine Domestic"|"Alaskan Husky"|3287|19.9|5.500|"count"|"Observed"|"2008-06-06-21.10.14"|"Observed"|"Condition"|2|"2008-06-07-12.01.32"|"Hemoconcentration"|"Mild"|"00000000145118.000000"
80014075|"Canine Domestic"|"Golden Retriever"|150|24.9|16.000|"oz"|"Observed"|"2008-02-19-18.00.28"|"Evidence"|"Condition"|4|"2008-06-08-12.00.53"|"Urinary Casts"|"Moderate"|"00000317180025.000000"
80049440|"Canine Domestic"|"Yorkshire Terrier"|0|1.5|2.000|"count"|"Suspected"|"2008-06-11-12.00.11"|"Observed"|"Condition"|2|"2008-06-11-17.00.32"|"Bloody Vomitus"|"Moderate"|"00000000050021.000000"
80049440|"Canine Domestic"|"Yorkshire Terrier"|0|1.5|2.000|"count"|"Suspected"|"2008-06-11-12.00.11"|"Observed"|"Condition"|1|"2008-06-11-17.00.32"|"Vomiting"|"Moderate"|"00000000050021.000000"
80049452|"Canine Domestic"|"Chihuahua Dog"|4382|3.1|8.000|"count"|"Evidence"|"2008-06-08-12.00.46"|"Evidence"|"Lab Test"|1|"2008-06-12-12.00.35"|"Blood Urea Nitrogen"|"Normal"|"00000003235949.000000"
80049452|"Canine Domestic"|"Chihuahua Dog"|4382|3.1|8.000|"count"|"Evidence"|"2008-06-08-12.00.46"|"Evidence"|"Lab Test"|2|"2008-06-12-12.00.35"|"Serum Creatinine"|"Normal"|"00000003235949.000000"
80049452|"Canine Domestic"|"Chihuahua Dog"|4382|3.1|8.000|"count"|"Evidence"|"2008-06-08-12.00.46"|"Evidence"|"Lab Test"|3|"2008-06-12-12.00.35"|"Urine Specific Gravity"|"Normal"|"00000003235949.000000"
80049440|"Canine Domestic"|"Yorkshire Terrier"|0|1.5|2.000|"count"|"Suspected"|"2008-06-11-12.00.11"|"Observed"|"Lab Test"|3|"2008-06-12-14.30.49"|"Hematocrit"|"High"|"00000001023038.000000"
80049440|"Canine Domestic"|"Yorkshire Terrier"|0|1.5|2.000|"count"|"Suspected"|"2008-06-11-12.00.11"|"Observed"|"Lab Test"|4|"2008-06-12-14.30.49"|"Serum Alanine Aminotransferase"|"High"|"00000001023038.000000"
80049440|"Canine Domestic"|"Yorkshire Terrier"|0|1.5|2.000|"count"|"Suspected"|"2008-06-11-12.00.11"|"Observed"|"Lab Test"|5|"2008-06-12-14.30.49"|"Serum Alkaline Phosphatase"|"High"|"00000001023038.000000"
80050215|"Canine Domestic"|"Basset Hound"|547|15.8|17.500|"count"|"Possible"|"2008-06-14-15.30.22"|"Observed"|"Lab Test"|1|"2008-06-16-12.00.13"|"Blood Urea Nitrogen"|"Normal"|"00000001202951.000000"
80050215|"Canine Domestic"|"Basset Hound"|547|15.8|17.500|"count"|"Possible"|"2008-06-14-15.30.22"|"Observed"|"Lab Test"|2|"2008-06-16-12.00.13"|"Serum Creatinine"|"Normal"|"00000001202951.000000"
80051431|"Canine Domestic"|"Bichon Frise Dog"|3652|10.1|7.000|"count"|"Evidence"|"2008-06-17-17.26.52"|"Observed"|"Condition"|1|"2008-06-17-19.28.07"|"Vomiting"|"Mild"|"00000000020115.000000"
80051431|"Canine Domestic"|"Bichon Frise Dog"|3652|10.1|7.000|"count"|"Evidence"|"2008-06-17-17.26.52"|"Observed"|"Condition"|3|"2008-06-17-19.45.07"|"Abdominal Distension"|"Mild"|"00000000021815.000000"
80051431|"Canine Domestic"|"Bichon Frise Dog"|3652|10.1|7.000|"count"|"Evidence"|"2008-06-17-17.26.52"|"Observed"|"Condition"|2|"2008-06-17-19.45.07"|"Retching"|"Mild"|"00000000021815.000000"
80050215|"Canine Domestic"|"Basset Hound"|547|15.8|17.500|"count"|"Possible"|"2008-06-14-15.30.22"|"Observed"|"Lab Test"|1|"2008-06-18-18.14.28"|"Blood Urea Nitrogen"|"Normal"|"00000004024406.000000"
80050215|"Canine Domestic"|"Basset Hound"|547|15.8|17.500|"count"|"Possible"|"2008-06-14-15.30.22"|"Observed"|"Lab Test"|2|"2008-06-18-18.14.48"|"Serum Creatinine"|"Normal"|"00000004024426.000000"
80054356|"Canine Domestic"|"Rottweiler Dog"|913|43.9|20.000|"count"|"Possible"|"2008-06-26-02.00.17"|"Evidence"|"Condition"|1|"2008-06-26-09.30.44"|"Ocular Edema"|"Mild"|"00000000073027.000000"
80055892|"Canine Domestic"|"Toy Poodle Dog"|1095|4.7|0.000|"Unk"|"Observed"|"2008-06-26-11.00.14"|"Observed"|"Lab Test"|1|"2008-06-26-17.00.34"|"Blood Urea Nitrogen"|"Not asked"|"00000000060020.000000"
80055892|"Canine Domestic"|"Toy Poodle Dog"|1095|4.7|0.000|"Unk"|"Observed"|"2008-06-26-11.00.14"|"Observed"|"Lab Test"|2|"2008-06-26-17.00.34"|"Serum Creatinine"|"Not asked"|"00000000060020.000000"
80055172|"Canine Domestic"|"Pomeranian Dog"|150|1.8|5.500|"count"|"Suspected"|"2008-06-28-15.20.30"|"Suspected"|"Condition"|1|"2008-06-28-23.45.07"|"Vomiting"|"Mild"|"00000000082437.000000"
80055805|"Canine Domestic"|"Labrador Retriever"|77|11.2|5.000|"count"|"Evidence"|"2008-06-29-17.30.17"|"Evidence"|"Condition"|1|"2008-06-30-01.00.25"|"Lethargy"|"Mild"|"00000000073008.000000"
80055892|"Canine Domestic"|"Toy Poodle Dog"|1095|4.7|0.000|"Unk"|"Observed"|"2008-06-26-11.00.14"|"Observed"|"Lab Test"|1|"2008-06-30-11.00.11"|"Blood Urea Nitrogen"|"Not asked"|"00000003235957.000000"
80056338|"Canine Domestic"|"Yorkshire Terrier"|365|3.1|0.000|"Unk"|"Unknown"||"Evidence"|"Condition"|1|"2008-07-01-11.43.29"|"Vomiting"|"Mild"|"Date error"
80056338|"Canine Domestic"|"Yorkshire Terrier"|365|3.1|0.000|"Unk"|"Unknown"||"Evidence"|"Condition"|3|"2008-07-01-12.43.46"|"Lethargy"|"Moderate"|"Date error"
80056338|"Canine Domestic"|"Yorkshire Terrier"|365|3.1|0.000|"Unk"|"Unknown"||"Evidence"|"Condition"|2|"2008-07-01-12.51.10"|"Diarrhea"|"Moderate"|"Date error"
80056338|"Canine Domestic"|"Yorkshire Terrier"|365|3.1|0.000|"Unk"|"Unknown"||"Evidence"|"Lab Test"|4|"2008-07-01-14.00.23"|"Serum Alanine Aminotransferase"|"High"|"Date error"
80056338|"Canine Domestic"|"Yorkshire Terrier"|365|3.1|0.000|"Unk"|"Unknown"||"Evidence"|"Lab Test"|5|"2008-07-01-14.00.23"|"Serum Bilirubin Total"|"Elevated"|"Date error"
80056729|"Canine Domestic"|"Maltese Dog"|2921|2.7|8.000|"count"|"Evidence"|"2008-07-02-11.00.01"|"Evidence"|"Condition"|1|"2008-07-02-14.00.41"|"Vomiting"|"Mild"|"00000000030040.000000"
80057268|"Canine Domestic"|"Labrador Retriever"|2191|41.9|0.500|"lb"|"Observed"|"2008-07-03-10.30.48"|"Observed"|"Condition"|1|"2008-07-03-18.00.28"|"Vomiting"|"Mild"|"00000000072940.000000"
80058755|"Canine Domestic"|"West Highland White Terrier"|1095|9.3|7.000|"count"|"Suspected"|"2008-07-07-22.30.47"|"Observed"|"Condition"|1|"2008-07-08-00.00.54"|"Vocalization"|"Mild"|"00000000013007.000000"
80058755|"Canine Domestic"|"West Highland White Terrier"|1095|9.3|7.000|"count"|"Suspected"|"2008-07-07-22.30.47"|"Observed"|"Condition"|1|"2008-07-08-00.10.19"|"Vocalization"|"Normal"|"00000000013932.000000"
80058789|"Canine Domestic"|"Miniature Dachshund Dog"|913|4.9|0.000|"Unk"|"Unknown"|"2008-07-07-13.00.57"|"Suspected"|"Condition"|2|"2008-07-08-07.00.27"|"Vomiting"|"Mild"|"00000000175930.000000"
80058789|"Canine Domestic"|"Miniature Dachshund Dog"|913|4.9|0.000|"Unk"|"Unknown"|"2008-07-07-13.00.57"|"Suspected"|"Condition"|1|"2008-07-08-08.00.27"|"Lethargy"|"Moderate"|"00000000185930.000000"
80060169|"Canine Domestic"|"American Pit Bull Terrier"|2921|34.8|10.000|"count"|"Evidence"|"2008-07-11-19.00.20"|"Evidence"|"Condition"|1|"2008-07-12-08.00.37"|"Inappetence"|"Moderate"|"00000000130017.000000"
80060169|"Canine Domestic"|"American Pit Bull Terrier"|2921|34.8|10.000|"count"|"Evidence"|"2008-07-11-19.00.20"|"Evidence"|"Condition"|2|"2008-07-12-08.00.37"|"Lethargy"|"Mild"|"00000000130017.000000"
80060169|"Canine Domestic"|"American Pit Bull Terrier"|2921|34.8|10.000|"count"|"Evidence"|"2008-07-11-19.00.20"|"Evidence"|"Condition"|1|"2008-07-12-20.00.29"|"Inappetence"|"Normal"|"00000001010009.000000"
80060169|"Canine Domestic"|"American Pit Bull Terrier"|2921|34.8|10.000|"count"|"Evidence"|"2008-07-11-19.00.20"|"Evidence"|"Condition"|2|"2008-07-12-20.00.29"|"Lethargy"|"Normal"|"00000001010009.000000"
80061179|"Canine Domestic"|"American Pit Bull Terrier"|120|16.7|0.000|"Not App"|"Not Specific"|"2008-07-10-14.00.25"|"Observed"|"Condition"|2|"2008-07-15-00.00.54"|"Lethargy"|"Moderate"|"00000004100029.000000"
80061179|"Canine Domestic"|"American Pit Bull Terrier"|120|16.7|0.000|"Not App"|"Not Specific"|"2008-07-10-14.00.25"|"Observed"|"Condition"|1|"2008-07-15-00.00.54"|"Vomiting"|"Mild"|"00000004100029.000000"
80062785|"Canine Domestic"|"Chihuahua Dog"|1460|4.5|5.000|"count"|"Evidence"|"2008-07-18-17.00.44"|"Observed"|"Condition"|1|"2008-07-19-08.00.55"|"Vomiting"|"Mild"|"00000000150011.000000"
80062785|"Canine Domestic"|"Chihuahua Dog"|1460|4.5|5.000|"count"|"Evidence"|"2008-07-18-17.00.44"|"Observed"|"Condition"|2|"2008-07-19-18.00.55"|"Lethargy"|"Mild"|"00000001010011.000000"
80064923|"Canine Domestic"|"Pomeranian Dog"|120|1.0|4.000|"count"|"Observed"|"2008-07-25-16.00.51"|"Observed"|"Condition"|1|"2008-07-25-16.01.43"|"Vomiting"|"Mild"|"00000000000052.000000"
80064923|"Canine Domestic"|"Pomeranian Dog"|120|1.0|4.000|"count"|"Observed"|"2008-07-25-16.00.51"|"Observed"|"Condition"|1|"2008-07-25-17.00.43"|"Vomiting"|"Mild"|"00000000005952.000000"
80064923|"Canine Domestic"|"Pomeranian Dog"|120|1.0|4.000|"count"|"Observed"|"2008-07-25-16.00.51"|"Observed"|"Condition"|1|"2008-07-25-20.00.28"|"Vomiting"|"Mild"|"00000000035937.000000"
80064923|"Canine Domestic"|"Pomeranian Dog"|120|1.0|4.000|"count"|"Observed"|"2008-07-25-16.00.51"|"Observed"|"Condition"|3|"2008-07-25-20.00.36"|"Lethargy"|"Mild"|"00000000035945.000000"
80064923|"Canine Domestic"|"Pomeranian Dog"|120|1.0|4.000|"count"|"Observed"|"2008-07-25-16.00.51"|"Observed"|"Condition"|2|"2008-07-25-20.00.37"|"Grass Ingestion"|"Mild"|"00000000035946.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Condition"|1|"2008-07-28-12.00.15"|"Lethargy"|"Mild"|"00000000005931.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Condition"|2|"2008-07-28-12.00.24"|"Anorexia"|"Mild"|"00000000005940.000000"
80065954|"Canine Domestic"|"Miniature Schnauzer Dog"|2556|6.3|7.000|"count"|"Suspected"|"2008-07-27-19.00.30"|"Observed"|"Condition"|1|"2008-07-28-12.00.32"|"Lethargy"|"Mild"|"00000000170002.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Condition"|3|"2008-07-28-12.00.34"|"Polyuria"|"Mild"|"00000000005950.000000"
80065954|"Canine Domestic"|"Miniature Schnauzer Dog"|2556|6.3|7.000|"count"|"Suspected"|"2008-07-27-19.00.30"|"Observed"|"Condition"|3|"2008-07-28-22.08.54"|"Inappetence"|"Mild"|"00000001030824.000000"
80065954|"Canine Domestic"|"Miniature Schnauzer Dog"|2556|6.3|7.000|"count"|"Suspected"|"2008-07-27-19.00.30"|"Observed"|"Condition"|2|"2008-07-28-22.08.54"|"Vomiting"|"Moderate"|"00000001030824.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Lab Test"|6|"2008-07-30-12.00.04"|"Blood Urea Nitrogen"|"Elevated"|"00000002005920.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Condition"|8|"2008-07-30-12.00.04"|"Hyperphosphatemia"|"Mild"|"00000002005920.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Lab Test"|9|"2008-07-30-12.00.04"|"Serum Albumin"|"Low"|"00000002005920.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Lab Test"|5|"2008-07-30-12.00.04"|"Serum Creatinine"|"Elevated"|"00000002005920.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Lab Test"|7|"2008-07-30-12.00.04"|"Serum Phosphorus"|"Elevated"|"00000002005920.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Lab Test"|10|"2008-07-30-12.00.04"|"Urine Specific Gravity"|"Low"|"00000002005920.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Condition"|4|"2008-07-30-12.00.09"|"Azotemia"|"Moderate"|"00000002005925.000000"
80066828|"Canine Domestic"|"Rhodesian Ridgeback Dog"|1095|38.5|0.000|"Unk"|"Unknown"|"2008-07-28-11.00.44"|"Possible"|"Condition"|11|"2008-07-31-12.00.04"|"Proteinuria"|"Unknown"|"00000003005920.000000"
80068757|"Canine Domestic"|"Pembroke Welsh Corgi Dog"|270|10.6|1.000|"count"|"Observed"|"2008-08-06-01.20.22"|"Evidence"|"Lab Test"|1|"2008-08-06-03.15.29"|"Blood Urea Nitrogen"|"Elevated"|"00000000015507.000000"
80068757|"Canine Domestic"|"Pembroke Welsh Corgi Dog"|270|10.6|1.000|"count"|"Observed"|"2008-08-06-01.20.22"|"Evidence"|"Lab Test"|2|"2008-08-06-03.15.29"|"Serum Creatinine"|"Normal"|"00000000015507.000000"
80069060|"Canine Domestic"|"Labrador Retriever"|1826|49.8|65.000|"count"|"Suspected"|"2008-08-06-20.40.59"|"Evidence"|"Condition"|2|"2008-08-06-21.40.20"|"Restlessness"|"Mild"|"00000000005921.000000"
80069060|"Canine Domestic"|"Labrador Retriever"|1826|49.8|65.000|"count"|"Suspected"|"2008-08-06-20.40.59"|"Evidence"|"Condition"|1|"2008-08-06-21.40.20"|"Vocalization"|"Mild"|"00000000005921.000000"
80069349|"Canine Domestic"|"Bearded Collie Dog"|180|16.4|30.000|"count"|"Evidence"|"2008-08-02-12.00.47"|"Observed"|"Condition"|3|"2008-08-07-16.00.19"|"Hypersalivation"|"Mild"|"00000005035932.000000"
80069349|"Canine Domestic"|"Bearded Collie Dog"|180|16.4|30.000|"count"|"Evidence"|"2008-08-02-12.00.47"|"Observed"|"Condition"|1|"2008-08-07-16.00.38"|"Vomiting"|"Mild"|"00000005035951.000000"
80069349|"Canine Domestic"|"Bearded Collie Dog"|180|16.4|30.000|"count"|"Evidence"|"2008-08-02-12.00.47"|"Observed"|"Condition"|2|"2008-08-07-16.00.41"|"Diarrhea"|"Mild"|"00000005035954.000000"
80069349|"Canine Domestic"|"Bearded Collie Dog"|180|16.4|30.000|"count"|"Evidence"|"2008-08-02-12.00.47"|"Observed"|"Lab Test"|6|"2008-08-07-20.00.00"|"Blood Urea Nitrogen"|"Elevated"|"00000005075913.000000"
80069349|"Canine Domestic"|"Bearded Collie Dog"|180|16.4|30.000|"count"|"Evidence"|"2008-08-02-12.00.47"|"Observed"|"Lab Test"|7|"2008-08-07-20.00.00"|"Serum Creatinine"|"Normal"|"00000005075913.000000"
80069349|"Canine Domestic"|"Bearded Collie Dog"|180|16.4|30.000|"count"|"Evidence"|"2008-08-02-12.00.47"|"Observed"|"Lab Test"|5|"2008-08-07-20.00.00"|"Serum Phosphorus"|"Not asked"|"00000005075913.000000"
80069349|"Canine Domestic"|"Bearded Collie Dog"|180|16.4|30.000|"count"|"Evidence"|"2008-08-02-12.00.47"|"Observed"|"Lab Test"|4|"2008-08-07-20.00.00"|"White Blood Cell Count"|"Elevated"|"00000005075913.000000"
80069373|"Canine Domestic"|"Yorkshire Terrier"|365|3.8|1.000|"count"|"Suspected"|"2008-08-07-20.35.27"|"Observed"|"Condition"|1|"2008-08-07-21.22.56"|"Vomiting"|"Mild"|"00000000004729.000000"
80069589|"Canine Domestic"|"Miniature Pinscher Dog"|1095|8.1|15.000|"count"|"Possible"|"2008-08-07-19.00.11"|"Observed"|"Condition"|1|"2008-08-08-08.00.37"|"Hematuria"|"Mild"|"00000000130026.000000"
80069475|"Canine Domestic"|"Labrador Retriever"|730|18.5|1.500|"cup"|"Observed"|"2008-08-06-09.00.41"|"Observed"|"Lab Test"|1|"2008-08-08-09.45.19"|"Blood Urea Nitrogen"|"High"|"00000002004438.000000"
80069475|"Canine Domestic"|"Labrador Retriever"|730|18.5|1.500|"cup"|"Observed"|"2008-08-06-09.00.41"|"Observed"|"Condition"|4|"2008-08-08-09.45.19"|"Elevated Blood Urea Nitrogen"|"Mild"|"00000002004438.000000"
80069475|"Canine Domestic"|"Labrador Retriever"|730|18.5|1.500|"cup"|"Observed"|"2008-08-06-09.00.41"|"Observed"|"Lab Test"|2|"2008-08-08-09.45.19"|"Serum Creatinine"|"Normal"|"00000002004438.000000"
80069475|"Canine Domestic"|"Labrador Retriever"|730|18.5|1.500|"cup"|"Observed"|"2008-08-06-09.00.41"|"Observed"|"Lab Test"|3|"2008-08-08-09.45.19"|"Serum Phosphorus"|"Normal"|"00000002004438.000000"
80071789|"Canine Domestic"|"Labrador Retriever"|803|33.9|0.000|"Unk"|"Unknown"|"2008-08-07-12.00.25"|"Observed"|"Condition"|1|"2008-08-08-12.00.35"|"Anorexia"|"Moderate"|"00000001000010.000000"
80071789|"Canine Domestic"|"Labrador Retriever"|803|33.9|0.000|"Unk"|"Unknown"|"2008-08-07-12.00.25"|"Observed"|"Condition"|3|"2008-08-08-12.00.35"|"Fecal Foreign Body"|"Mild"|"00000001000010.000000"
80071789|"Canine Domestic"|"Labrador Retriever"|803|33.9|0.000|"Unk"|"Unknown"|"2008-08-07-12.00.25"|"Observed"|"Condition"|2|"2008-08-08-12.00.35"|"Vomiting"|"Moderate"|"00000001000010.000000"
80069786|"Canine Domestic"|"Labrador Retriever"|1460|42.5|22.000|"count"|"Suspected"|"2008-08-08-22.00.34"|"Evidence"|"Condition"|1|"2008-08-09-04.00.02"|"Vomiting"|"Mild"|"00000000055928.000000"
80069786|"Canine Domestic"|"Labrador Retriever"|1460|42.5|22.000|"count"|"Suspected"|"2008-08-08-22.00.34"|"Evidence"|"Condition"|2|"2008-08-09-08.00.52"|"Lethargy"|"Mild"|"00000000100018.000000"
80071789|"Canine Domestic"|"Labrador Retriever"|803|33.9|0.000|"Unk"|"Unknown"|"2008-08-07-12.00.25"|"Observed"|"Condition"|4|"2008-08-09-12.00.35"|"Lethargy"|"Moderate"|"00000002000010.000000"
80069786|"Canine Domestic"|"Labrador Retriever"|1460|42.5|22.000|"count"|"Suspected"|"2008-08-08-22.00.34"|"Evidence"|"Condition"|2|"2008-08-09-18.00.36"|"Lethargy"|"Normal"|"00000000200002.000000"
80071789|"Canine Domestic"|"Labrador Retriever"|803|33.9|0.000|"Unk"|"Unknown"|"2008-08-07-12.00.25"|"Observed"|"Condition"|10|"2008-08-09-20.16.35"|"Anuria"|"Moderate"|"00000002081610.000000"
80071789|"Canine Domestic"|"Labrador Retriever"|803|33.9|0.000|"Unk"|"Unknown"|"2008-08-07-12.00.25"|"Observed"|"Lab Test"|21|"2008-08-09-20.16.35"|"Blood Platelets"|"Low"|"00000002081610.000000"
80071789|"Canine Domestic"|"Labrador Retriever"|803|33.9|0.000|"Unk"|"Unknown"|"2008-08-07-12.00.25"|"Observed"|"Lab Test"|5|"2008-08-09-20.16.35"|"Blood Urea Nitrogen"|"High"|"00000002081610.000000"
80071789|"Canine Domestic"|"Labrador Retriever"|803|33.9|0.000|"Unk"|"Unknown"|"2008-08-07-12.00.25"|"Observed"|"Lab Test"|6|"2008-08-09-20.16.35"|"Serum Calcium"|"High"|"00000002081610.000000"
80071789|"Canine Domestic"|"Labrador Retriever"|803|33.9|0.000|"Unk"|"Unknown"|"2008-08-07-12.00.25"|"Observed"|"Lab Test"|9|"2008-08-09-20.16.35"|"Serum Chloride"|"Low"|"00000002081610.000000"
